,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport
61,994,2012-05-11,2012,Budapest VIII. kerďż˝let,Szigony,,könnyű sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4843694444444,19.0799694444444,0,0,1,2,POINT (652451.1108196748 237825.5905150172),gyalogos
62,998,2012-05-11,2012,Budapest VIII. kerďż˝let,Gďż˝zlďż˝ng,,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4970555555556,19.077275,0,0,1,2,POINT (652247.5334067508 239235.89279485727),jármű-jármű
63,1014,2012-05-13,2012,Budapest VIII. kerďż˝let,Baross,Illďż˝s,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4893888888889,19.0781444444444,0,0,3,3,POINT (652313.3634972712 238383.57377972204),jármű-jármű
64,1027,2012-05-14,2012,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4800083333333,19.0865722222222,0,0,1,1,POINT (652948.9471061957 237340.96537936313),gyalogos
65,1045,2012-05-16,2012,Budapest VIII. kerďż˝let,Szďż˝zados,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4936916666667,19.1077194444444,0,0,1,2,POINT (654541.6305421512 238863.2004967608),gyalogos
66,1051,2012-05-17,2012,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.4969,19.0699055555556,0,0,2,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű
67,1089,2012-05-21,2012,Budapest VIII. kerďż˝let,Illďż˝s,,könnyű sérüléses,Menetirány szerint a JOBB oldalon várakozó járműnek ütközés,egyéb,egyéb,47.4844416666667,19.0855555555556,0,0,1,2,POINT (652872.0892630961 237833.80394692282),jármű-jármű
68,1095,2012-05-21,2012,Budapest VIII. kerďż˝let,Hungďż˝ria,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4904277777778,19.1087555555556,0,0,1,2,POINT (654619.9799032396 238500.39669250627),jármű-jármű
69,1104,2012-05-22,2012,Budapest VIII. kerďż˝let,Kerepesi,,könnyű sérüléses,Azonos irányból érkező járművek ütközése a belső sávban haladó jármű JOBBRA kanyarodik,"irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.49953888888889,19.0829416666667,0,0,2,2,POINT (652674.36286374 239512.15057812067),jármű-jármű
70,1136,2012-05-25,2012,Budapest VIII. kerďż˝let,Blaha Lujza,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,tiltott helyen való áthaladás,47.4962444444444,19.0704333333333,0,1,0,2,POINT (651732.0782501437 239145.55053422853),gyalogos
71,1160,2012-05-29,2012,Budapest VIII. kerďż˝let,Kďż˝lvďż˝ria,Diďż˝szeghy Sďż˝muel,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4884333333333,19.08765,0,0,1,1,POINT (653029.7093684154 238277.6543324216),gyalogos
72,1163,2012-05-29,2012,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,Orczy,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4865083333333,19.1076666666667,0,0,1,2,POINT (654538.2575529236 238064.5896255088),jármű-jármű
73,1180,2012-05-31,2012,Budapest VIII. kerďż˝let,Vajda Pďż˝ter,,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4841111111111,19.0978583333333,0,0,1,2,POINT (653799.2768802445 237797.56608447392),gyalogos
74,1211,2012-06-04,2012,Budapest VIII. kerďż˝let,Bďż˝rkocsis,Aurďż˝ra,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4935805555556,19.0710472222222,0,0,1,2,POINT (651778.4171099035 238849.40503939544),jármű-jármű
75,1226,2012-06-05,2012,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,Szentkirďż˝lyi,súlyos sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4969,19.0699055555556,0,1,0,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű
76,1248,2012-06-07,2012,Budapest VIII. kerďż˝let,Mďż˝zeum,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4941444444444,19.0603861111111,0,0,1,1,POINT (650975.1012956679 238911.9193801291),gyalogos
