Dátum,Év,Város,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport,street
2012-04-19,2012,Budapest VIII. kerület,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4935805555556,19.0710472222222,0,1,0,2,POINT (651778.4171099035 238849.40503939544),jármű-jármű,[' József körút']
2012-04-21,2012,Budapest VIII. kerület,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan megfordulás,47.4927416666667,19.0710083333333,0,0,1,3,POINT (651775.5136283527 238756.1405311049),jármű-jármű,Rákóczi tér M  József körút
2012-04-23,2012,Budapest VIII. kerület,súlyos sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4865083333333,19.1076666666667,0,1,0,1,POINT (654538.2575529236 238064.5896255088),gyalogos,"['Kőbányai út', ' Taraliget lakópark']"
2012-04-24,2012,Budapest VIII. kerület,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, mindkét jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4996111111111,19.0806083333333,0,0,1,2,POINT (652498.5645284301 239520.10524671202),jármű-jármű,"['Baross Gábor', ' Baross tér']"
2012-04-26,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező szembe haladó járművek ütközése, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4904277777778,19.1087555555556,0,0,1,2,POINT (654619.9799032396 238500.39669250627),jármű-jármű,Hungária körút
2012-04-28,2012,Budapest VIII. kerület,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,egyéb,"figyelmetlen, gondatlan vezetés",47.4969,19.0699055555556,0,0,1,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű,Blaha Lujza tér  Rákóczi út
2012-05-04,2012,Budapest VIII. kerület,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4926111111111,19.0876083333333,0,0,1,6,POINT (653026.3375678236 238742.1177923598),jármű-jármű,"['Magdolna utca', ' Fiumei út']"
2012-05-04,2012,Budapest VIII. kerület,könnyű sérüléses,ütközés két jármű egyidejű forgalmi sávváltása közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4869472222222,19.0673083333333,0,0,1,2,POINT (651496.8715055173 238111.869005999),jármű-jármű,"['Star Park - Üllői 27', ' 27', ' Üllői út']"
2012-05-08,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4946027777778,19.0646777777778,0,0,1,1,POINT (651298.4610701749 238962.93244612616),gyalogos,[' Szentkirályi utca']
2012-05-09,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4947583333333,19.0750861111111,0,0,1,2,POINT (652082.6997956743 238980.44014475757),jármű-jármű,"[' Fecske utca', ' Józsefváros']"
